film,userid,score
《前任2：备胎反击战》 , 1202  ,  8.2
《一路惊喜》 , 1339  ,  6.2
《破风》 , 1150  ,  9.5
《坏蛋必须死》 , 1109  ,  5.0
《爱情魔发师》 , 1007  ,  9.7
《分手再说我爱你》 , 1042  ,  4.9
《探灵档案》 , 1293  ,  6.6
《一路惊喜》 , 1343  ,  4.9
《紫霞》 , 1122  ,  3.7
《一念天堂》 , 1154  ,  8.7
《少年班》 , 1320  ,  9.0
《紫霞》 , 1072  ,  3.1
《浪漫天降》 , 1172  ,  6.4
《怦然星动》 , 1215  ,  8.1
《分手再说我爱你》 , 1085  ,  8.6
《将错就错》 , 1116  ,  4.6
《少年班》 , 1128  ,  6.0
《少年班》 , 1225  ,  8.4
《冲上云霄》 , 1010  ,  8.0
《将错就错》 , 1453  ,  7.0
《怦然星动》 , 1190  ,  5.8
《少年班》 , 1240  ,  5.0
《将错就错》 , 1359  ,  7.8
《恶棍天使》 , 1322  ,  7.6
《一路惊喜》 , 1296  ,  9.1
《闯入者》 , 1334  ,  5.0
《天将雄师》 , 1455  ,  7.3
《闯入者》 , 1113  ,  3.9
《闯入者》 , 1118  ,  8.7
《恶棍天使》 , 1013  ,  7.9
《恶棍天使》 , 1162  ,  4.4
《少年班》 , 1324  ,  4.2
《将错就错》 , 1206  ,  6.0
《失孤》 , 1178  ,  4.8
《探灵档案》 , 1113  ,  3.6
《一念天堂》 , 1453  ,  6.4
《一念天堂》 , 1162  ,  5.9
《天将雄师》 , 1231  ,  5.7
《前任2：备胎反击战》 , 1071  ,  5.8
《一念天堂》 , 1246  ,  5.6
《天将雄师》 , 1200  ,  3.7
《分手再说我爱你》 , 1296  ,  4.2
《探灵档案》 , 1263  ,  5.9
《分手再说我爱你》 , 1159  ,  5.6
《万物生长》 , 1403  ,  9.2
《万物生长》 , 1315  ,  8.7
《既然青春留不住》 , 1065  ,  5.4
《冲上云霄》 , 1010  ,  7.8
《万物生长》 , 1141  ,  8.1
《将错就错》 , 1433  ,  3.9
《前任2：备胎反击战》 , 1184  ,  7.5
《万物生长》 , 1172  ,  5.3
《简单爱》 , 1473  ,  4.2
《分手再说我爱你》 , 1311  ,  6.6
《探灵档案》 , 1219  ,  9.1
《冲上云霄》 , 1425  ,  8.8
《怦然星动》 , 1110  ,  7.6
《既然青春留不住》 , 1042  ,  6.9
《将错就错》 , 1368  ,  8.6
《天将雄师》 , 1264  ,  4.3
《浪漫天降》 , 1226  ,  8.5
《前任2：备胎反击战》 , 1216  ,  4.7
《既然青春留不住》 , 1098  ,  6.4
《分手再说我爱你》 , 1047  ,  4.8
《万物生长》 , 1169  ,  7.6
《一路惊喜》 , 1225  ,  4.3
《分手再说我爱你》 , 1117  ,  4.3
《少年班》 , 1124  ,  9.4
《万物生长》 , 1344  ,  5.7
《一念天堂》 , 1486  ,  3.8
《既然青春留不住》 , 1334  ,  9.4
《破风》 , 1321  ,  6.6
《最美的时候遇见你》 , 1450  ,  9.7
《爱情魔发师》 , 1374  ,  5.9
《破风》 , 1070  ,  7.9
《爱情魔发师》 , 1241  ,  6.4
《前任2：备胎反击战》 , 1343  ,  9.1
《天将雄师》 , 1004  ,  3.9
《失孤》 , 1191  ,  3.7
《少年班》 , 1067  ,  9.7
《前任2：备胎反击战》 , 1321  ,  7.5
《既然青春留不住》 , 1142  ,  3.0
《最美的时候遇见你》 , 1007  ,  3.8
《破风》 , 1385  ,  7.9
《一路惊喜》 , 1091  ,  4.3
《冲上云霄》 , 1305  ,  4.5
《探灵档案》 , 1388  ,  8.3
《失孤》 , 1070  ,  7.3
《冲上云霄》 , 1080  ,  5.3
《爱情魔发师》 , 1130  ,  6.0
《天将雄师》 , 1367  ,  6.4
《浪漫天降》 , 1006  ,  6.2
《天将雄师》 , 1188  ,  6.7
《前任2：备胎反击战》 , 1473  ,  3.2
《怦然星动》 , 1274  ,  4.4
《浪漫天降》 , 1215  ,  7.5
《怦然星动》 , 1389  ,  4.2
《冲上云霄》 , 1474  ,  8.7
《将错就错》 , 1013  ,  3.2
《坏蛋必须死》 , 1079  , 10.0
《前任2：备胎反击战》 , 1240  ,  3.1
《浪漫天降》 , 1292  ,  4.9
《一路惊喜》 , 1280  ,  5.7
《一路惊喜》 , 1487  ,  7.1
《爱情魔发师》 , 1196  ,  5.1
《紫霞》 , 1403  ,  3.4
《恶棍天使》 , 1368  ,  7.8
《简单爱》 , 1233  ,  8.7
《紫霞》 , 1274  ,  6.2
《前任2：备胎反击战》 , 1225  ,  4.6
《分手再说我爱你》 , 1191  ,  5.2
《分手再说我爱你》 , 1226  ,  8.5
《简单爱》 , 1252  ,  7.3
《既然青春留不住》 , 1344  ,  7.4
《少年班》 , 1059  ,  8.7
《恶棍天使》 , 1206  ,  5.0
《失孤》 , 1015  ,  3.1
《万物生长》 , 1487  ,  3.9
《坏蛋必须死》 , 1276  ,  5.7
《浪漫天降》 , 1246  ,  9.2
《破风》 , 1130  ,  7.3
《一念天堂》 , 1263  ,  8.9
《恶棍天使》 , 1418  ,  3.3
《紫霞》 , 1246  ,  9.3
《恶棍天使》 , 1407  , 10.0
《坏蛋必须死》 , 1095  ,  8.2
《紫霞》 , 1124  ,  7.0
《爱情魔发师》 , 1195  ,  9.7
《爱情魔发师》 , 1072  ,  7.2
《坏蛋必须死》 , 1195  ,  6.9
《一路惊喜》 , 1216  ,  5.3
《恶棍天使》 , 1386  ,  6.8
《最美的时候遇见你》 , 1377  ,  5.3
《紫霞》 , 1274  ,  9.5
《闯入者》 , 1296  ,  5.9
《简单爱》 , 1080  ,  9.0
《坏蛋必须死》 , 1122  , 10.0
《探灵档案》 , 1347  ,  6.6
《恶棍天使》 , 1214  ,  4.4
《闯入者》 , 1159  ,  6.4
《前任2：备胎反击战》 , 1357  ,  5.6
《坏蛋必须死》 , 1488  ,  6.0
《探灵档案》 , 1025  ,  6.5
《冲上云霄》 , 1407  ,  3.7
《最美的时候遇见你》 , 1128  ,  3.7
《闯入者》 , 1491  ,  8.2
《天将雄师》 , 1236  ,  5.1
《天将雄师》 , 1104  ,  5.7
《一念天堂》 , 1031  ,  9.2
《少年班》 , 1103  ,  5.7
《将错就错》 , 1152  ,  5.2
《将错就错》 , 1377  ,  4.8
《一念天堂》 , 1344  ,  5.7
《将错就错》 , 1363  ,  6.4
《失孤》 , 1447  ,  9.2
《天将雄师》 , 1022  ,  3.9
《爱情魔发师》 , 1111  ,  6.9
《紫霞》 , 1470  ,  6.4
《坏蛋必须死》 , 1214  ,  5.6
《前任2：备胎反击战》 , 1386  ,  6.0
《前任2：备胎反击战》 , 1218  ,  5.3
《紫霞》 , 1450  ,  5.7
《一念天堂》 , 1433  ,  6.2
《万物生长》 , 1091  ,  9.3
《一念天堂》 , 1001  ,  5.7
《失孤》 , 1048  ,  8.3
《冲上云霄》 , 1085  ,  4.4
《将错就错》 , 1313  ,  6.4
《破风》 , 1084  ,  7.1
《一路惊喜》 , 1022  ,  8.7
《一念天堂》 , 1176  ,  5.0
《探灵档案》 , 1037  ,  3.0
《失孤》 , 1080  ,  4.5
《天将雄师》 , 1200  , 10.0
《冲上云霄》 , 1391  ,  7.7
《坏蛋必须死》 , 1469  ,  5.7
《最美的时候遇见你》 , 1246  ,  9.2
《失孤》 , 1059  ,  9.4
《爱情魔发师》 , 1428  ,  5.6
《前任2：备胎反击战》 , 1466  ,  5.1
《简单爱》 , 1250  ,  8.7
《紫霞》 , 1252  ,  7.8
《恶棍天使》 , 1001  ,  5.3
《紫霞》 , 1124  ,  3.1
《前任2：备胎反击战》 , 1080  ,  9.1
《探灵档案》 , 1042  ,  8.0
《爱情魔发师》 , 1219  ,  4.3
《一路惊喜》 , 1252  ,  3.1
《闯入者》 , 1093  ,  3.5
《最美的时候遇见你》 , 1322  ,  8.7
《分手再说我爱你》 , 1205  ,  4.8
《少年班》 , 1268  ,  6.2
《破风》 , 1283  ,  6.2
《少年班》 , 1172  ,  8.5
《简单爱》 , 1091  ,  7.5
《坏蛋必须死》 , 1233  ,  4.3
《探灵档案》 , 1444  ,  3.1
《分手再说我爱你》 , 1042  ,  8.7
《恶棍天使》 , 1291  ,  5.2
《浪漫天降》 , 1322  ,  4.9
《破风》 , 1195  ,  6.2
《一路惊喜》 , 1322  ,  5.6
《简单爱》 , 1423  ,  8.7
《爱情魔发师》 , 1380  ,  3.6
《简单爱》 , 1305  ,  6.9
《怦然星动》 , 1476  ,  9.7
《一路惊喜》 , 1311  ,  6.2
《既然青春留不住》 , 1102  ,  5.2
《紫霞》 , 1103  ,  5.3
《万物生长》 , 1473  ,  4.1
《分手再说我爱你》 , 1198  ,  9.1
《失孤》 , 1159  ,  4.9
《一念天堂》 , 1226  ,  6.0
《破风》 , 1111  ,  8.5
《紫霞》 , 1184  ,  3.0
《紫霞》 , 1188  ,  3.6
《天将雄师》 , 1388  ,  8.4
《闯入者》 , 1225  ,  3.9
《既然青春留不住》 , 1071  ,  3.7
《既然青春留不住》 , 1289  ,  3.9
《失孤》 , 1161  ,  5.9
《一念天堂》 , 1235  ,  5.7
《一路惊喜》 , 1065  ,  4.5
《坏蛋必须死》 , 1374  ,  4.7
《怦然星动》 , 1125  ,  6.8
《探灵档案》 , 1360  ,  7.2
《一路惊喜》 , 1250  ,  8.8
《简单爱》 , 1491  ,  5.2
《失孤》 , 1231  ,  6.5
《一念天堂》 , 1470  ,  5.0
《浪漫天降》 , 1321  ,  9.9
《一念天堂》 , 1488  ,  3.1
《破风》 , 1047  ,  3.1
《前任2：备胎反击战》 , 1191  ,  5.3
《一念天堂》 , 1184  , 10.0
《浪漫天降》 , 1178  ,  5.3
《坏蛋必须死》 , 1129  ,  4.5
《冲上云霄》 , 1201  ,  5.7
《闯入者》 , 1167  ,  4.4
《坏蛋必须死》 , 1246  ,  5.1
《一念天堂》 , 1250  ,  9.7
《破风》 , 1123  ,  9.1
《恶棍天使》 , 1311  ,  8.8
《冲上云霄》 , 1035  ,  9.1
《简单爱》 , 1311  ,  8.5
《前任2：备胎反击战》 , 1274  ,  7.2
《坏蛋必须死》 , 1429  , 10.0
《失孤》 , 1231  ,  6.1
《失孤》 , 1450  ,  6.6
《怦然星动》 , 1400  ,  8.8
《既然青春留不住》 , 1428  ,  4.5
《将错就错》 , 1267  ,  4.4
《万物生长》 , 1374  ,  5.7
《一路惊喜》 , 1456  ,  3.6
《最美的时候遇见你》 , 1001  ,  6.2
《紫霞》 , 1021  ,  9.5
《最美的时候遇见你》 , 1167  ,  4.2
《一念天堂》 , 1047  ,  6.9
《冲上云霄》 , 1241  ,  9.2
《分手再说我爱你》 , 1007  ,  8.5
《坏蛋必须死》 , 1447  ,  3.9
《恶棍天使》 , 1198  ,  4.6
《坏蛋必须死》 , 1116  ,  3.7
《前任2：备胎反击战》 , 1215  ,  5.2
《前任2：备胎反击战》 , 1130  ,  7.7
《失孤》 , 1085  ,  6.4
《紫霞》 , 1223  ,  8.0
《分手再说我爱你》 , 1065  ,  4.4
《少年班》 , 1450  ,  6.2
《浪漫天降》 , 1470  ,  8.7
《紫霞》 , 1104  ,  6.8
《怦然星动》 , 1022  ,  5.0
《将错就错》 , 1453  ,  4.3
《万物生长》 , 1124  ,  4.3
《分手再说我爱你》 , 1010  ,  8.7
《浪漫天降》 , 1006  ,  9.7
《简单爱》 , 1334  ,  8.2
《万物生长》 , 1487  ,  4.4
《恶棍天使》 , 1042  ,  6.2
《坏蛋必须死》 , 1339  ,  7.2
《破风》 , 1344  ,  7.2
《将错就错》 , 1322  ,  7.0
《既然青春留不住》 , 1142  ,  5.6
《万物生长》 , 1487  ,  3.0
《分手再说我爱你》 , 1031  ,  6.8
《将错就错》 , 1068  ,  8.9
《坏蛋必须死》 , 1159  ,  8.5
《一路惊喜》 , 1291  ,  3.2
《天将雄师》 , 1159  ,  8.7
《爱情魔发师》 , 1240  ,  4.1
《恶棍天使》 , 1423  ,  4.4
《天将雄师》 , 1084  ,  7.9
《坏蛋必须死》 , 1114  ,  3.7
《紫霞》 , 1339  ,  7.3
《坏蛋必须死》 , 1381  ,  3.6
《一念天堂》 , 1119  ,  5.6
《坏蛋必须死》 , 1200  ,  6.9
《万物生长》 , 1476  ,  6.9
《既然青春留不住》 , 1021  ,  9.5
《将错就错》 , 1004  ,  3.7
《前任2：备胎反击战》 , 1219  ,  5.7
《前任2：备胎反击战》 , 1391  ,  5.0
《简单爱》 , 1339  ,  7.3
《前任2：备胎反击战》 , 1028  ,  9.0
《最美的时候遇见你》 , 1462  ,  7.2
《万物生长》 , 1047  ,  3.7
《冲上云霄》 , 1079  ,  4.4
《冲上云霄》 , 1130  ,  6.0
《既然青春留不住》 , 1347  ,  9.2
《万物生长》 , 1263  ,  6.2
《爱情魔发师》 , 1201  ,  6.8
《爱情魔发师》 , 1454  ,  5.7
《破风》 , 1385  ,  4.8
《少年班》 , 1176  ,  7.6
《最美的时候遇见你》 , 1047  ,  7.7
《破风》 , 1159  ,  9.7
《失孤》 , 1167  ,  7.7
《浪漫天降》 , 1321  ,  6.3
《失孤》 , 1343  ,  7.8
《闯入者》 , 1455  ,  6.8
《天将雄师》 , 1433  ,  3.8
《恶棍天使》 , 1429  ,  8.8
《失孤》 , 1233  ,  9.3
《既然青春留不住》 , 1444  ,  7.3
《少年班》 , 1318  ,  3.8
《恶棍天使》 , 1268  ,  3.6
《少年班》 , 1208  ,  6.8
《爱情魔发师》 , 1418  ,  9.5
《一路惊喜》 , 1428  ,  5.7
《天将雄师》 , 1202  ,  9.3
《坏蛋必须死》 , 1057  ,  4.5
《浪漫天降》 , 1395  ,  7.2
《少年班》 , 1411  ,  5.9
《失孤》 , 1487  ,  8.3
《分手再说我爱你》 , 1154  ,  3.1
《恶棍天使》 , 1124  ,  7.3
《紫霞》 , 1406  ,  3.7
《一路惊喜》 , 1377  ,  5.9
《分手再说我爱你》 , 1363  ,  5.3
《浪漫天降》 , 1380  ,  9.3
《天将雄师》 , 1270  ,  5.2
《既然青春留不住》 , 1098  ,  3.8
《分手再说我爱你》 , 1394  ,  7.8
《破风》 , 1174  ,  8.2
《失孤》 , 1088  ,  7.2
《闯入者》 , 1305  ,  5.2
《爱情魔发师》 , 1470  ,  4.8
《浪漫天降》 , 1360  ,  3.9
《冲上云霄》 , 1428  ,  7.0
《最美的时候遇见你》 , 1202  ,  3.9
《分手再说我爱你》 , 1190  ,  4.5
《闯入者》 , 1152  ,  4.2
《既然青春留不住》 , 1380  ,  8.2
《破风》 , 1080  ,  3.7
《浪漫天降》 , 1161  ,  3.4
《天将雄师》 , 1213  ,  4.3
《紫霞》 , 1386  ,  5.0
《紫霞》 , 1455  ,  6.2
《既然青春留不住》 , 1195  ,  9.7
《既然青春留不住》 , 1433  ,  4.8
《破风》 , 1378  ,  7.9
《浪漫天降》 , 1226  ,  5.0
《恶棍天使》 , 1264  ,  7.2
《既然青春留不住》 , 1423  ,  3.6
《怦然星动》 , 1462  ,  9.0
《紫霞》 , 1486  ,  4.2
《爱情魔发师》 , 1292  ,  5.0
《闯入者》 , 1462  ,  6.4
《简单爱》 , 1117  ,  7.2
《浪漫天降》 , 1208  ,  5.2
《冲上云霄》 , 1444  ,  6.6
《一路惊喜》 , 1122  ,  5.6
《浪漫天降》 , 1381  ,  7.2
《怦然星动》 , 1488  ,  5.0
《万物生长》 , 1302  ,  4.9
《天将雄师》 , 1236  ,  4.9
《爱情魔发师》 , 1487  ,  5.2
《失孤》 , 1014  ,  7.2
《失孤》 , 1198  ,  4.8
《分手再说我爱你》 , 1259  ,  7.9
《天将雄师》 , 1174  ,  6.2
《最美的时候遇见你》 , 1065  ,  5.7
《破风》 , 1491  ,  5.0
《少年班》 , 1377  ,  4.4
《既然青春留不住》 , 1119  ,  5.6
《一路惊喜》 , 1035  ,  7.0
《坏蛋必须死》 , 1190  ,  4.3
《破风》 , 1320  ,  6.2
《简单爱》 , 1236  ,  7.3
《前任2：备胎反击战》 , 1202  ,  4.8
《分手再说我爱你》 , 1363  , 10.0
《恶棍天使》 , 1339  ,  3.2
《天将雄师》 , 1074  ,  9.4
《紫霞》 , 1119  ,  8.7
《浪漫天降》 , 1311  ,  5.0
《浪漫天降》 , 1130  ,  5.7
《浪漫天降》 , 1474  ,  4.2
《万物生长》 , 1473  ,  7.6
《紫霞》 , 1456  ,  6.7
《浪漫天降》 , 1162  ,  5.3
《失孤》 , 1109  ,  7.5
《恶棍天使》 , 1250  ,  9.7
《爱情魔发师》 , 1025  ,  9.5
《少年班》 , 1466  ,  3.6
《怦然星动》 , 1263  ,  8.7
《恶棍天使》 , 1367  ,  8.2
《探灵档案》 , 1453  ,  4.8
《少年班》 , 1291  ,  6.6
《少年班》 , 1084  ,  5.0
《失孤》 , 1218  ,  8.2
《分手再说我爱你》 , 1142  ,  3.2
《一念天堂》 , 1357  ,  9.4
《将错就错》 , 1259  ,  3.6
《前任2：备胎反击战》 , 1028  ,  8.8
《闯入者》 , 1318  ,  4.8
《简单爱》 , 1118  ,  6.9
《最美的时候遇见你》 , 1047  ,  4.4
《失孤》 , 1276  ,  8.5
《怦然星动》 , 1103  ,  4.2
《闯入者》 , 1345  ,  7.2
《前任2：备胎反击战》 , 1128  ,  9.3
《失孤》 , 1109  ,  9.7
《最美的时候遇见你》 , 1010  ,  4.9
《少年班》 , 1191  ,  9.1
《探灵档案》 , 1476  ,  4.4
《坏蛋必须死》 , 1119  ,  8.6
《少年班》 , 1474  ,  5.0
《破风》 , 1313  ,  4.7
《探灵档案》 , 1482  ,  8.2
《万物生长》 , 1006  ,  3.2
《简单爱》 , 1021  ,  4.8
《万物生长》 , 1322  ,  5.8
《冲上云霄》 , 1086  ,  6.8
《失孤》 , 1225  ,  3.8
《万物生长》 , 1047  ,  3.3
《闯入者》 , 1444  ,  4.8
《探灵档案》 , 1216  ,  6.8
《冲上云霄》 , 1072  ,  8.4
《爱情魔发师》 , 1074  ,  7.6
《恶棍天使》 , 1190  ,  8.6
《恶棍天使》 , 1280  ,  3.3
《一念天堂》 , 1196  ,  9.2
《一路惊喜》 , 1315  ,  7.5
《失孤》 , 1403  ,  7.9
《爱情魔发师》 , 1154  ,  5.2
《一路惊喜》 , 1010  ,  6.8
《爱情魔发师》 , 1476  ,  4.4
《怦然星动》 , 1114  ,  6.8
《简单爱》 , 1280  ,  4.5
《失孤》 , 1214  ,  4.3
《万物生长》 , 1130  ,  9.4
《探灵档案》 , 1124  ,  7.6
《最美的时候遇见你》 , 1293  ,  8.5
《失孤》 , 1453  ,  6.6
《最美的时候遇见你》 , 1072  ,  6.6
《一念天堂》 , 1180  ,  7.3
《最美的时候遇见你》 , 1015  ,  9.7
《恶棍天使》 , 1334  ,  4.2
《坏蛋必须死》 , 1218  ,  6.2
《天将雄师》 , 1411  ,  4.5
《破风》 , 1109  ,  6.2
《简单爱》 , 1400  ,  3.3
《一路惊喜》 , 1103  ,  4.2
《冲上云霄》 , 1048  ,  5.4
《前任2：备胎反击战》 , 1190  ,  3.8
《分手再说我爱你》 , 1225  ,  5.3
《冲上云霄》 , 1114  ,  6.2
《探灵档案》 , 1388  ,  9.1
《失孤》 , 1276  ,  3.2
《一念天堂》 , 1117  ,  7.0
《失孤》 , 1219  ,  3.5
《闯入者》 , 1216  ,  4.8
《紫霞》 , 1360  ,  4.9
《天将雄师》 , 1394  ,  4.4
《简单爱》 , 1201  ,  7.4
